"address","name","kind","size","device_id","data_type","scale_factor","unit","tags"   
"1400","HREG_01400_SEL_751_M_FREQ","holding","1","1","uint16","0.01","Hz","main-sel-751"
"1401","HREG_01401_SEL_751_M_FREQS","holding","1","1","uint16","1.0","","main-sel-751"
"1402","HREG_01402_SEL_751_M_IA","holding","1","1","int16","0.01","A","main-sel-751"
"1403","HREG_01403_SEL_751_M_IB","holding","1","1","int16","0.01","A","main-sel-751"
"1404","HREG_01404_SEL_751_M_IC","holding","1","1","int16","0.01","A","main-sel-751"
"1405","HREG_01405_SEL_751_M_IG","holding","1","1","int16","0.01","A","main-sel-751"
"1406","HREG_01406_SEL_751_M_IN","holding","1","1","int16","0.01","A","main-sel-751"
"1407","HREG_01407_SEL_751_M_P","holding","1","1","int32","1.0","W","main-sel-751"
"1408","HREG_01408_SEL_751_M_PF","holding","1","1","int16","0.001","","main-sel-751"
"1409","HREG_01409_SEL_751_M_Q","holding","1","1","int32","1.0","VAR","main-sel-751"
"1410","HREG_01410_SEL_751_M_S","holding","1","1","int32","1.0","VA","main-sel-751"
"1411","HREG_01411_SEL_751_M_VAB","holding","1","1","uint16","0.1","V","main-sel-751"
"1412","HREG_01412_SEL_751_M_VBC","holding","1","1","uint16","0.1","V","main-sel-751"
"1413","HREG_01413_SEL_751_M_VCA","holding","1","1","uint16","0.1","V","main-sel-751"
"1414","HREG_01414_SEL_751_M_VDC","holding","1","1","uint16","0.1","V","main-sel-751"
"1415","HREG_01415_SEL_751_M_VS","holding","1","1","uint16","0.1","V","main-sel-751"
"1420","HREG_01420_SEL_751_1_FREQ","holding","1","1","uint16","0.01","Hz","main-sel-751"
"1421","HREG_01421_SEL_751_1_FREQS","holding","1","1","uint16","1.0","","main-sel-751"
"1422","HREG_01422_SEL_751_1_IA","holding","1","1","int16","0.01","A","main-sel-751"
"1423","HREG_01423_SEL_751_1_IB","holding","1","1","int16","0.01","A","main-sel-751"
"1424","HREG_01424_SEL_751_1_IC","holding","1","1","int16","0.01","A","main-sel-751"
"1425","HREG_01425_SEL_751_1_IG","holding","1","1","int16","0.01","A","main-sel-751"
"1426","HREG_01426_SEL_751_1_IN","holding","1","1","int16","0.01","A","main-sel-751"
"1427","HREG_01427_SEL_751_1_P","holding","1","1","int32","1.0","W","main-sel-751"
"1428","HREG_01428_SEL_751_1_PF","holding","1","1","int16","0.001","","main-sel-751"
"1429","HREG_01429_SEL_751_1_Q","holding","1","1","int32","1.0","VAR","main-sel-751"
"1430","HREG_01430_SEL_751_1_S","holding","1","1","int32","1.0","VA","main-sel-751"
"1431","HREG_01431_SEL_751_1_VAB","holding","1","1","uint16","0.1","V","main-sel-751"
"1432","HREG_01432_SEL_751_1_VBC","holding","1","1","uint16","0.1","V","main-sel-751"
"1433","HREG_01433_SEL_751_1_VCA","holding","1","1","uint16","0.1","V","main-sel-751"
"1434","HREG_01434_SEL_751_1_VDC","holding","1","1","uint16","0.1","V","main-sel-751"
"1435","HREG_01435_SEL_751_1_VS","holding","1","1","uint16","0.1","V","main-sel-751"
"1440","HREG_01440_SEL_751_2_FREQ","holding","1","1","uint16","0.01","Hz","main-sel-751"
