"address","name","kind","size","unit_id","data_type","scale_factor","unit","tags"
"1400","HREG_01400_SEL_751_M_FREQ","holding","1","1","uint16","0.01","Hz","main-sel-751"
"1401","HREG_01401_SEL_751_M_FREQS","holding","1","1","uint16","1.0","","main-sel-751"
"1402","HREG_01402_SEL_751_M_IA","holding","1","1","int16","0.01","A","main-sel-751"
"1403","HREG_01403_SEL_751_M_IB","holding","1","1","int16","0.01","A","main-sel-751"
"1404","HREG_01404_SEL_751_M_IC","holding","1","1","int16","0.01","A","main-sel-751"
"1405","HREG_01405_SEL_751_M_IG","holding","1","1","int16","0.01","A","main-sel-751"
"1406","HREG_01406_SEL_751_M_IN","holding","1","1","int16","0.01","A","main-sel-751"
"1407","HREG_01407_SEL_751_M_P","holding","2","1","int32","1.0","W","main-sel-751"
"1408","HREG_01408_SEL_751_M_PF","holding","1","1","int16","0.001","","main-sel-751"
"1409","HREG_01409_SEL_751_M_Q","holding","2","1","int32","1.0","VAR","main-sel-751"
"1410","HREG_01410_SEL_751_M_S","holding","2","1","int32","1.0","VA","main-sel-751"
"1411","HREG_01411_SEL_751_M_VAB","holding","1","1","uint16","0.1","V","main-sel-751"
"1412","HREG_01412_SEL_751_M_VBC","holding","1","1","uint16","0.1","V","main-sel-751"
"1413","HREG_01413_SEL_751_M_VCA","holding","1","1","uint16","0.1","V","main-sel-751"
"1414","HREG_01414_SEL_751_M_VDC","holding","1","1","uint16","0.1","V","main-sel-751"
"1415","HREG_01415_SEL_751_M_VS","holding","1","1","uint16","0.1","V","main-sel-751"
"1416","HREG_01416_SPARE","holding","1","1","uint16","1.0","","main-sel-751"
"1417","HREG_01417_SPARE","holding","1","1","uint16","1.0","","main-sel-751"
"1418","HREG_01418_SPARE","holding","1","1","uint16","1.0","","main-sel-751"
"1419","HREG_01419_SPARE","holding","1","1","uint16","1.0","","main-sel-751"
"1420","HREG_01420_SEL_751_1_FREQ","holding","1","1","uint16","0.01","Hz","main-sel-751"
